flight_id,label,attack_type,timestamp,att_roll,att_pitch,att_yaw,pos_lat,pos_lon,pos_alt_rel,pos_vx,pos_vy,pos_vz,nav_roll,nav_pitch,nav_alt_error,servo1_raw,servo2_raw,servo3_raw,servo4_raw,sys_voltage_battery,sys_load,vib_x,vib_y,vib_z,gps_sats_visible,attack_params_json
normal_corridor_base_7,0,none,10029,0.00019091156718786806,-4.300551881897263e-05,-0.34560808539390564,-35.3632621,149.1652374,0.0,0.0,0.0,-0.03,-9.942174074240029e-05,9.444951137993485e-05,0.0,1000,1000,1000,1000,12600,0,0.003028503619134426,0.0028576343320310116,0.002704027108848095,0,{}
normal_corridor_base_7,0,none,10361,0.00019792813691310585,-3.4428740036673844e-05,-0.32596638798713684,-35.3632621,149.1652374,0.0,0.0,0.0,-0.03,-9.942168253473938e-05,9.444944589631632e-05,0.0,1000,1000,1000,1000,12600,0,0.0026826877146959305,0.0028009701054543257,0.0028241071850061417,10,{}
normal_corridor_base_7,0,none,10694,0.00019744732708204538,-2.263815804326441e-05,-0.2947835922241211,-35.3632621,149.1652374,0.0,0.0,0.0,-0.03,-9.942171891452745e-05,9.444939496461302e-05,0.0,1000,1000,1000,1000,12600,0,0.0024225106462836266,0.002918530022725463,0.003008450148627162,10,{}
normal_corridor_base_7,0,none,11027,0.00020421830413397402,-1.4180543075781316e-05,-0.25929510593414307,-35.3632621,149.1652374,0.0,0.0,0.0,-0.03,-9.942171891452745e-05,9.444939496461302e-05,0.0,1000,1000,1000,1000,12600,0,0.0027941917069256306,0.002697681076824665,0.0025131292641162872,10,{}
normal_corridor_base_7,0,none,11359,0.0002083669533021748,-7.597744570375653e-06,-0.2349093109369278,-35.3632621,149.1652374,0.0,0.0,0.0,-0.03,-9.94216461549513e-05,9.444938041269779e-05,0.0,1000,1000,1000,1000,12600,0,0.002946102526038885,0.002767459489405155,0.002984835533425212,10,{}
normal_corridor_base_7,0,none,11694,0.00021275121252983809,-9.628854513721308e-07,-0.21269702911376953,-35.3632621,149.1652374,0.0,0.0,0.0,-0.03,-9.942160249920562e-05,9.444940951652825e-05,0.0,1000,1000,1000,1000,12600,0,0.0031006939243525267,0.002752370433881879,0.0026324454229325056,10,{}
normal_corridor_base_7,0,none,12026,0.0002205424680141732,1.3990463230584282e-05,-0.18668246269226074,-35.3632621,149.1652374,0.0,0.0,0.0,-0.02,-9.942160249920562e-05,9.444940951652825e-05,0.0,1000,1000,1000,1000,12600,0,0.0028949598781764507,0.0028772440273314714,0.0028946842066943645,10,{}
normal_corridor_base_7,0,none,12359,0.00022564965183846653,1.984602386073675e-05,-0.1695946305990219,-35.3632621,149.1652374,0.0,0.0,0.0,-0.02,-9.942161705112085e-05,9.444940951652825e-05,0.0,1000,1000,1000,1000,12600,0,0.0028981859795749187,0.0029637333936989307,0.0028454423882067204,10,{}
normal_corridor_base_7,0,none,12691,0.00023561071429867297,2.944206426036544e-05,-0.15440978109836578,-35.3632621,149.1652374,0.0,0.0,0.0,-0.02,-9.942168253473938e-05,9.444936586078256e-05,0.0,1000,1000,1000,1000,12600,0,0.002812003018334508,0.0028544501401484013,0.0030318426433950663,10,{}
normal_corridor_base_7,0,none,13024,0.00024566633510403335,3.6130051739746705e-05,-0.1367095708847046,-35.3632621,149.1652374,0.0,0.0,0.0,-0.02,-9.942168253473938e-05,9.444936586078256e-05,0.0,1000,1000,1000,1000,12600,0,0.002738950541242957,0.002576020546257496,0.0027991337701678276,10,{}
