flight_id,label,attack_type,timestamp,att_roll,att_pitch,att_yaw,pos_lat,pos_lon,pos_alt_rel,pos_vx,pos_vy,pos_vz,nav_roll,nav_pitch,nav_alt_error,servo1_raw,servo2_raw,servo3_raw,servo4_raw,sys_voltage_battery,sys_load,vib_x,vib_y,vib_z,gps_sats_visible,attack_params_json
attack_corridor_base_9,1,pos_yawl_spoof,10321,0.0001949052530108,-3.730067328433506e-05,-0.3320980966091156,-35.3632621,149.1652374,0.0,0.0,0.0,-0.03,-9.942173346644267e-05,9.444946044823156e-05,0.0,1000,1000,1000,1000,12600,0,0.0027133438270539,0.0028508636169135,0.0027057600673288,3,{}
attack_corridor_base_9,1,pos_yawl_spoof,10654,0.0001977861975319,-2.413995935057756e-05,-0.3004005253314972,-35.3632621,149.1652374,0.0,0.0,0.0,-0.03,-9.942168253473938e-05,9.444936586078256e-05,0.0,1000,1000,1000,1000,12600,0,0.0024877020623534,0.0027790451422333,0.002939480356872,10,{}
attack_corridor_base_9,1,pos_yawl_spoof,10987,0.0002058998652501,-1.4841278243693525e-05,-0.2640333473682403,-35.3632621,149.1652374,0.0,0.0,0.0,-0.03,-9.942165343090892e-05,9.444937313674018e-05,0.0,1000,1000,1000,1000,12600,0,0.0026898907963186,0.0025069704279303,0.0025215230416506,10,{}
attack_corridor_base_9,1,pos_yawl_spoof,11322,0.0002089995250571,-6.886962182761636e-06,-0.2392941564321518,-35.3632621,149.1652374,0.0,0.0,0.0,-0.03,-9.942165343090892e-05,9.444937313674018e-05,0.0,1000,1000,1000,1000,12600,0,0.0029618476983159,0.0027627074159681,0.0030308326240628,10,{}
attack_corridor_base_9,1,pos_yawl_spoof,11654,0.0002129650092683,-1.016758574223786e-06,-0.2167175412178039,-35.3632621,149.1652374,0.0,0.0,0.0,-0.03,-9.9421595223248e-05,9.44493804126978e-05,0.0,1000,1000,1000,1000,12600,0,0.0027854866348206,0.0027268042322248,0.0027358324732631,10,{}
attack_corridor_base_9,1,pos_yawl_spoof,11986,0.000220771311433,1.1792864825110884e-05,-0.1900893151760101,-35.3632621,149.1652374,0.0,0.0,0.0,-0.02,-9.942157339537516e-05,9.444939496461302e-05,0.0,1000,1000,1000,1000,12600,0,0.0028761667199432,0.002612825948745,0.002735971705988,10,{}
attack_corridor_base_9,1,pos_yawl_spoof,12319,0.0002237751468783,2.054370634141378e-05,-0.1726299226284027,-35.3632621,149.1652374,0.0,0.0,0.0,-0.02,-9.942157339537516e-05,9.444939496461302e-05,0.0,1000,1000,1000,1000,12600,0,0.0030250067356973,0.0027653200086206,0.0029576458036899,10,{}
attack_corridor_base_9,1,pos_yawl_spoof,12654,0.0002352926967432,2.801506343530491e-05,-0.1570976823568344,-35.3632621,149.1652374,0.0,0.0,0.0,-0.02,-9.942166798282416e-05,9.444940951652824e-05,0.0,1000,1000,1000,1000,12600,0,0.0029192613437771,0.0029154303483664,0.0030994503758847,10,{}
attack_corridor_base_9,1,pos_yawl_spoof,12987,0.0002452303888276,3.713983096531592e-05,-0.1389942020177841,-35.3632621,149.1652374,0.0,0.0,0.0,-0.02,-9.94216461549513e-05,9.444936586078256e-05,0.0,1000,1000,1000,1000,12600,0,0.0025016327854245,0.0027710993308573,0.0028049745596945,10,{}
attack_corridor_base_9,1,pos_yawl_spoof,13319,0.000249128381256,4.383963459986262e-05,-0.1272796392440796,-35.3632621,149.1652374,0.0,0.0,0.0,-0.01,-9.94216461549513e-05,9.444936586078256e-05,0.0,1000,1000,1000,1000,12600,0,0.0029650160577148,0.0026717507280409,0.0029355208389461,10,{}
attack_corridor_base_9,1,pos_yawl_spoof,13652,0.0002626612549647,4.85544114781078e-05,-0.1169864386320114,-35.3632621,149.1652374,0.0,0.0,0.0,-0.01,-9.942163887899368e-05,9.444939496461302e-05,0.0,1000,1000,1000,1000,12600,0,0.0025833081454038,0.0026862015947699,0.00275334645994,10,{}
attack_corridor_base_9,1,pos_yawl_spoof,13984,0.0002754379820544,6.063685577828437e-05,-0.1051996350288391,-35.3632621,149.1652374,0.0,0.0,0.0,-0.01,-9.942155884345992e-05,9.44493804126978e-05,0.0,1000,1000,1000,1000,12600,0,0.002623314037919,0.0028397240675985,0.0029748491942882,10,{}
attack_corridor_base_9,1,pos_yawl_spoof,14319,0.0002795306209009,6.831294012954459e-05,-0.0976234599947929,-35.3632621,149.1652374,0.0,0.0,0.0,-0.01,-9.942155884345992e-05,9.44493804126978e-05,0.0,1000,1000,1000,1000,12600,0,0.0030610272660851,0.0029192706570029,0.0028803346212953,10,{}
attack_corridor_base_9,1,pos_yawl_spoof,14651,0.0002928088069893,8.20724744698964e-05,-0.0910226926207542,-35.3632621,149.1652374,0.0,0.0,0.0,-0.01,-9.942151518771424e-05,9.444933675695212e-05,0.0,1000,1000,1000,1000,12600,0,0.0028944534715265,0.0029168783221393,0.0029711148235946,10,{}
attack_corridor_base_9,1,pos_yawl_spoof,14984,0.0003071017854381,9.712673636386172e-05,-0.0834586396813392,-35.3632621,149.1652374,0.0,0.0,0.0,-0.01,-9.942147153196856e-05,9.444930037716404e-05,0.0,1000,1000,1000,1000,12600,0,0.002933140611276,0.0027397396042943,0.0027227280661463,10,{}
attack_corridor_base_9,1,pos_yawl_spoof,15359,0.0003211866714991,0.0001070322177838,-0.0771338939666748,-35.3632621,149.1652374,0.0,0.0,0.0,-0.01,-9.942147153196856e-05,9.444930037716404e-05,0.0,1000,1000,1000,1000,12600,0,0.0027445345185697,0.0024996895808726,0.0031369915232062,10,{}
attack_corridor_base_9,1,pos_yawl_spoof,15609,0.0003307907027192,0.0001115051854867,-0.073786124587059,-35.3632621,149.1652374,0.0,0.0,0.0,-0.01,-9.942150063579902e-05,9.444935858482496e-05,0.0,1000,1000,1000,1000,12600,0,0.0027445345185697,0.0024996895808726,0.0031369915232062,10,{}
attack_corridor_base_9,1,pos_yawl_spoof,15859,0.0003363890282344,0.0001200049882754,-0.0708750188350677,-35.3632621,149.1652374,0.0,0.0,0.0,0.0,-9.94214860838838e-05,9.444936586078256e-05,0.0,1000,1000,1000,1000,12600,0,0.0026640279684215,0.0027920980937778,0.0025840585585683,10,{}
attack_corridor_base_9,1,pos_yawl_spoof,16329,0.0003457584534771,0.000129838794237,-0.0682299509644508,-35.3632621,149.1652374,0.0,0.0,0.0,0.0,-9.942147880792618e-05,9.444936586078256e-05,0.0,1000,1000,1000,1000,12600,0,0.0029051525052636,0.0028612499590963,0.0026816504541784,10,{}
attack_corridor_base_9,1,pos_yawl_spoof,16661,0.0003678045759443,0.0001481149229221,-0.0635152384638786,-35.3632621,149.1652374,0.0,0.0,0.0,0.0,-9.942150063579902e-05,9.44493876886554e-05,0.0,1000,1000,1000,1000,12600,0,0.0031360450666397,0.0025734172668308,0.0025887133087962,10,{}
attack_corridor_base_9,1,pos_yawl_spoof,16994,0.0003811212664004,0.0001536704221507,-0.0614482723176479,-35.3632621,149.1652374,0.0,0.0,0.0,0.0,-9.942147153196856e-05,9.444940224057063e-05,0.0,1000,1000,1000,1000,12600,0,0.0028475781437009,0.0028414553962647,0.0027528118807822,10,{}
attack_corridor_base_9,1,pos_yawl_spoof,17327,0.0003907505015376,0.0001640631671762,-0.0597027130424976,-35.3632621,149.1652374,0.0,0.0,0.0,0.0,-9.94214860838838e-05,9.444935130886734e-05,0.0,1000,1000,1000,1000,12600,0,0.0028869544621556,0.0028810093645006,0.0027899455744773,10,{}
attack_corridor_base_9,1,pos_yawl_spoof,17659,0.0004088479618076,0.0001777875149855,-0.0577919073402881,-35.3632621,149.1652374,0.0,0.0,0.0,0.0,-9.942160249920562e-05,9.444937313674018e-05,0.0,1000,1000,1000,1000,12600,0,0.0030162942130118,0.0026016102638095,0.0030297683551907,10,{}
attack_corridor_base_9,1,pos_yawl_spoof,17994,0.0004217434616293,0.0001901696377899,-0.0566036291420459,-35.3632621,149.1652374,0.0,0.0,0.0,0.0,-9.94216461549513e-05,9.444936586078256e-05,0.0,1000,1000,1000,1000,12600,0,0.0028777928091585,0.0030116406269371,0.0024214275181293,10,{}
attack_corridor_base_9,1,pos_yawl_spoof,18326,0.0004307958879508,0.000207418546779,-0.0556316822767257,-35.3632621,149.1652374,0.0,0.0,0.0,0.0,-9.942168253473938e-05,9.444936586078256e-05,0.0,1000,1000,1000,1000,12600,0,0.0027025882154703,0.0026829049456864,0.0026905678678303,10,{}
attack_corridor_base_9,1,pos_yawl_spoof,18659,0.0004468184488359,0.0002261404879391,-0.0546083599328994,-35.3632621,149.1652374,0.0,0.0,0.0,0.0,-9.942163160303608e-05,9.444931492907926e-05,0.0,1000,1000,1000,1000,12600,0,0.0026838874910026,0.0029392570722848,0.0027952273376286,10,{}
attack_corridor_base_9,1,pos_yawl_spoof,18991,0.0004664188891183,0.0002376278716837,-0.0540224239230155,-35.3632621,149.1652374,0.0,0.0,0.0,0.0,-9.94216461549513e-05,9.444930037716404e-05,0.0,1000,1000,1000,1000,12600,0,0.0031420232262462,0.0028372968081384,0.0027707379776984,10,{}
attack_corridor_base_9,1,pos_yawl_spoof,19324,0.0004803480114787,0.0002499559777788,-0.0536088198423385,-35.3632621,149.1652374,0.0,0.0,0.0,0.0,-9.94216461549513e-05,9.444930037716404e-05,0.0,1000,1000,1000,1000,12600,0,0.0026325432118028,0.0029296930879354,0.0026921667158603,10,{}
attack_corridor_base_9,1,pos_yawl_spoof,19657,0.0004997852374799,0.0002663150371517,-0.0531616806983947,-35.3632621,149.1652374,0.0,0.0,0.0,0.0,-9.942161705112083e-05,9.444932948099448e-05,0.0,1000,1000,1000,1000,12600,0,0.0026245883200317,0.0028407480567693,0.0028301167767494,10,{}
attack_corridor_base_9,1,pos_yawl_spoof,19992,0.0005181944579817,0.000278508698102,-0.052850853651762,-35.3632621,149.1652374,0.0,0.0,0.0,0.0,-9.942170436261222e-05,9.444936586078256e-05,0.0,1000,1000,1000,1000,12600,0,0.002809919649735,0.0026955544017255,0.0028349456842988,10,{}
